year,country,n_researchers_padded,inmigration,outmigration,netmigration,inmigration_rate,outmigration_rate,netmigration_rate
2025,MQ,400,73,77,-4,0.1825,0.1925,-0.01
1998,MR,32,0,0,0,0.0,0.0,0.0
1999,MR,34,0,2,-2,0.0,0.058823529411764705,-0.058823529411764705
2000,MR,36,3,1,2,0.08333333333333333,0.027777777777777776,0.05555555555555555
2001,MR,35,2,0,2,0.05714285714285714,0.0,0.05714285714285714
2002,MR,37,3,2,1,0.08108108108108109,0.05405405405405406,0.02702702702702703
2003,MR,54,2,2,0,0.037037037037037035,0.037037037037037035,0.0
2004,MR,61,0,3,-3,0.0,0.04918032786885246,-0.04918032786885246
2005,MR,80,7,4,3,0.0875,0.05,0.0375
2006,MR,72,8,4,4,0.1111111111111111,0.05555555555555555,0.05555555555555555
2007,MR,73,8,2,6,0.1095890410958904,0.0273972602739726,0.0821917808219178
2008,MR,72,5,10,-5,0.06944444444444445,0.1388888888888889,-0.06944444444444445
2009,MR,112,4,9,-5,0.03571428571428571,0.08035714285714286,-0.044642857142857144
2010,MR,146,9,7,2,0.06164383561643835,0.04794520547945205,0.0136986301369863
2011,MR,166,7,11,-4,0.04216867469879518,0.06626506024096386,-0.024096385542168676
2012,MR,177,10,3,7,0.05649717514124294,0.01694915254237288,0.03954802259887006
2013,MR,181,9,13,-4,0.049723756906077346,0.0718232044198895,-0.022099447513812154
2014,MR,230,15,12,3,0.06521739130434782,0.05217391304347826,0.013043478260869565
2015,MR,268,10,12,-2,0.03731343283582089,0.04477611940298507,-0.007462686567164179
2016,MR,337,20,14,6,0.05934718100890208,0.04154302670623145,0.017804154302670624
2017,MR,357,24,11,13,0.06722689075630252,0.03081232492997199,0.036414565826330535
2018,MR,384,20,20,0,0.052083333333333336,0.052083333333333336,0.0
2019,MR,408,20,19,1,0.049019607843137254,0.04656862745098039,0.0024509803921568627
2020,MR,422,19,15,4,0.045023696682464455,0.035545023696682464,0.009478672985781991
2021,MR,478,36,22,14,0.07531380753138076,0.04602510460251046,0.029288702928870293
2022,MR,516,39,19,20,0.0755813953488372,0.03682170542635659,0.03875968992248062
2023,MR,584,36,35,1,0.06164383561643835,0.059931506849315065,0.0017123287671232876
2024,MR,452,39,27,12,0.08628318584070796,0.059734513274336286,0.02654867256637168
2025,MR,279,44,33,11,0.15770609318996415,0.11827956989247312,0.03942652329749104
1998,MS,13,0,0,0,0.0,0.0,0.0
1999,MS,28,13,1,12,0.4642857142857143,0.03571428571428571,0.42857142857142855
2000,MS,18,2,7,-5,0.1111111111111111,0.3888888888888889,-0.2777777777777778
2001,MS,14,1,0,1,0.07142857142857142,0.0,0.07142857142857142
2002,MS,14,1,4,-3,0.07142857142857142,0.2857142857142857,-0.21428571428571427
2003,MS,27,2,0,2,0.07407407407407407,0.0,0.07407407407407407
2004,MS,33,4,4,0,0.12121212121212122,0.12121212121212122,0.0
2005,MS,38,13,4,9,0.34210526315789475,0.10526315789473684,0.23684210526315788
2006,MS,24,2,13,-11,0.08333333333333333,0.5416666666666666,-0.4583333333333333
2007,MS,32,5,7,-2,0.15625,0.21875,-0.0625
2008,MS,28,3,5,-2,0.10714285714285714,0.17857142857142858,-0.07142857142857142
2009,MS,22,2,3,-1,0.09090909090909091,0.13636363636363635,-0.045454545454545456
2010,MS,26,2,4,-2,0.07692307692307693,0.15384615384615385,-0.07692307692307693
2011,MS,29,3,3,0,0.10344827586206896,0.10344827586206896,0.0
2012,MS,39,7,3,4,0.1794871794871795,0.07692307692307693,0.10256410256410256
2013,MS,48,6,6,0,0.125,0.125,0.0
2014,MS,51,5,4,1,0.09803921568627451,0.0784313725490196,0.0196078431372549
2015,MS,65,3,6,-3,0.046153846153846156,0.09230769230769231,-0.046153846153846156
2016,MS,67,3,4,-1,0.04477611940298507,0.05970149253731343,-0.014925373134328358
2017,MS,69,9,6,3,0.13043478260869565,0.08695652173913043,0.043478260869565216
2018,MS,64,3,11,-8,0.046875,0.171875,-0.125
2019,MS,67,3,9,-6,0.04477611940298507,0.13432835820895522,-0.08955223880597014
2020,MS,92,11,7,4,0.11956521739130435,0.07608695652173914,0.043478260869565216
2021,MS,89,5,5,0,0.056179775280898875,0.056179775280898875,0.0
2022,MS,75,11,7,4,0.14666666666666667,0.09333333333333334,0.05333333333333334
2023,MS,48,8,12,-4,0.16666666666666666,0.25,-0.08333333333333333
2024,MS,33,6,11,-5,0.18181818181818182,0.3333333333333333,-0.15151515151515152
2025,MS,19,3,13,-10,0.15789473684210525,0.6842105263157895,-0.5263157894736842
1998,MT,285,0,0,0,0.0,0.0,0.0
1999,MT,287,12,11,1,0.041811846689895474,0.03832752613240418,0.003484320557491289
2000,MT,319,24,23,1,0.07523510971786834,0.07210031347962383,0.003134796238244514
2001,MT,353,27,29,-2,0.0764872521246459,0.0821529745042493,-0.0056657223796034
2002,MT,376,28,36,-8,0.07446808510638298,0.09574468085106383,-0.02127659574468085
2003,MT,391,24,30,-6,0.061381074168797956,0.07672634271099744,-0.015345268542199489
2004,MT,400,27,36,-9,0.0675,0.09,-0.0225
