year,country,n_researchers,inmigration,outmigration,netmigration,inmigration_rate,outmigration_rate,netmigration_rate
2018,MO,1591,479,393,86,0.30106851037083593,0.2470144563167819,0.05405405405405406
2019,MO,1701,484,440,44,0.284538506760729,0.2586713697824809,0.02586713697824809
2020,MO,2050,600,439,161,0.2926829268292683,0.21414634146341463,0.07853658536585366
2021,MO,2500,773,524,249,0.3092,0.2096,0.0996
2022,MO,3184,827,680,147,0.2597361809045226,0.2135678391959799,0.04616834170854271
2023,MO,3863,1213,825,388,0.31400465959099144,0.21356458710846493,0.10044007248252654
2024,MO,4613,1571,1181,390,0.34055928896596577,0.2560156080641665,0.08454368090179926
2025,MO,5441,1911,1409,502,0.3512222018011395,0.25895975004594746,0.09226245175519206
2000,MP,2,1,0,1,0.5,0.0,0.5
2001,MP,2,1,0,1,0.5,0.0,0.5
2002,MP,2,0,0,0,0.0,0.0,0.0
2003,MP,1,0,2,-2,0.0,2.0,-2.0
2004,MP,8,1,0,1,0.125,0.0,0.125
2005,MP,4,1,0,1,0.25,0.0,0.25
2006,MP,5,1,1,0,0.2,0.2,0.0
2007,MP,8,1,0,1,0.125,0.0,0.125
2008,MP,9,3,0,3,0.3333333333333333,0.0,0.3333333333333333
2009,MP,6,3,2,1,0.5,0.3333333333333333,0.16666666666666666
2010,MP,3,0,0,0,0.0,0.0,0.0
2011,MP,7,4,0,4,0.5714285714285714,0.0,0.5714285714285714
2012,MP,4,1,2,-1,0.25,0.5,-0.25
2013,MP,4,0,4,-4,0.0,1.0,-1.0
2014,MP,14,3,3,0,0.21428571428571427,0.21428571428571427,0.0
2015,MP,11,4,2,2,0.36363636363636365,0.18181818181818182,0.18181818181818182
2016,MP,9,3,3,0,0.3333333333333333,0.3333333333333333,0.0
2017,MP,7,3,4,-1,0.42857142857142855,0.5714285714285714,-0.14285714285714285
2018,MP,17,8,4,4,0.47058823529411764,0.23529411764705882,0.23529411764705882
2019,MP,6,3,1,2,0.5,0.16666666666666666,0.3333333333333333
2020,MP,9,4,3,1,0.4444444444444444,0.3333333333333333,0.1111111111111111
2021,MP,7,2,5,-3,0.2857142857142857,0.7142857142857143,-0.42857142857142855
2022,MP,6,2,2,0,0.3333333333333333,0.3333333333333333,0.0
2023,MP,20,5,2,3,0.25,0.1,0.15
2024,MP,16,1,2,-1,0.0625,0.125,-0.0625
2025,MP,21,6,1,5,0.2857142857142857,0.047619047619047616,0.23809523809523808
1998,MQ,66,0,0,0,0.0,0.0,0.0
1999,MQ,59,8,12,-4,0.13559322033898305,0.2033898305084746,-0.06779661016949153
2000,MQ,103,14,8,6,0.13592233009708737,0.07766990291262135,0.05825242718446602
2001,MQ,72,9,12,-3,0.125,0.16666666666666666,-0.041666666666666664
2002,MQ,50,7,10,-3,0.14,0.2,-0.06
2003,MQ,46,6,8,-2,0.13043478260869565,0.17391304347826086,-0.043478260869565216
2004,MQ,107,24,15,9,0.22429906542056074,0.14018691588785046,0.08411214953271028
2005,MQ,131,25,19,6,0.19083969465648856,0.1450381679389313,0.04580152671755725
2006,MQ,93,20,25,-5,0.21505376344086022,0.26881720430107525,-0.053763440860215055
2007,MQ,85,21,24,-3,0.24705882352941178,0.2823529411764706,-0.03529411764705882
2008,MQ,135,33,24,9,0.24444444444444444,0.17777777777777778,0.06666666666666667
2009,MQ,158,38,24,14,0.24050632911392406,0.1518987341772152,0.08860759493670886
2010,MQ,141,36,32,4,0.2553191489361702,0.22695035460992907,0.028368794326241134
2011,MQ,181,43,36,7,0.23756906077348067,0.19889502762430938,0.03867403314917127
2012,MQ,170,37,33,4,0.21764705882352942,0.19411764705882353,0.023529411764705882
2013,MQ,201,48,44,4,0.23880597014925373,0.21890547263681592,0.01990049751243781
2014,MQ,257,58,48,10,0.22568093385214008,0.1867704280155642,0.038910505836575876
2015,MQ,283,64,38,26,0.22614840989399293,0.13427561837455831,0.09187279151943463
2016,MQ,297,55,59,-4,0.18518518518518517,0.19865319865319866,-0.013468013468013467
2017,MQ,268,61,55,6,0.22761194029850745,0.20522388059701493,0.022388059701492536
2018,MQ,297,63,58,5,0.21212121212121213,0.19528619528619529,0.016835016835016835
2019,MQ,310,75,60,15,0.24193548387096775,0.1935483870967742,0.04838709677419355
2020,MQ,323,76,73,3,0.23529411764705882,0.2260061919504644,0.009287925696594427
2021,MQ,320,103,85,18,0.321875,0.265625,0.05625
